Name,Description,Degree Attributes,Enrollment Status,Type,Start Time,End Time,Days of Week,Instructors,Degree Level,Credits,Formatted Days,Start 24,End 24,Formatted TimeSlot,Matched Skills,Combined Text
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,9:00 AM,10:50 AM,R,"Butler, L;Ritschel, N",PhD,,Thu,09:00,10:50,Thu 09:00 - 10:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,R,"Butler, L;Ritschel, N",PhD,,Thu,11:00,12:50,Thu 11:00 - 12:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,1:00 PM,2:50 PM,R,"Butler, L;Ritschel, N",PhD,,Thu,13:00,14:50,Thu 13:00 - 14:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,3:00 PM,4:50 PM,R,"Butler, L;Ritschel, N",PhD,,Thu,15:00,16:50,Thu 15:00 - 16:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,9:00 AM,10:50 AM,F,"Butler, L;Ritschel, N",PhD,,Fri,09:00,10:50,Fri 09:00 - 10:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,F,"Butler, L;Ritschel, N",PhD,,Fri,11:00,12:50,Fri 11:00 - 12:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,1:00 PM,2:50 PM,F,"Butler, L;Ritschel, N",PhD,,Fri,13:00,14:50,Fri 13:00 - 14:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,3:00 PM,4:50 PM,F,"Butler, L;Ritschel, N",PhD,,Fri,15:00,16:50,Fri 15:00 - 16:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,10:00 AM,11:50 AM,F,"Butler, L;Ritschel, N",PhD,,Fri,10:00,11:50,Fri 10:00 - 11:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,12:00 PM,1:50 PM,F,"Butler, L;Ritschel, N",PhD,,Fri,12:00,13:50,Fri 12:00 - 13:50,"['Research on Artificial Intelligence and Machine learning', 'Artificial Intelligence (AI) and Machine Learning', 'Data Engineering', 'Big Data Technologies', 'Data Analysis and Visualization', 'Internet of Things', 'Problem Solving and Analysis', 'Feature Engineering', 'Cloud Computing', 'Data Structure', 'Data Science', 'Research on Natural Language Processing', 'Data Engineer', 'Data Analytics', 'Research on Block Chain', 'Operating Systems and Networking', 'Research on Cyber Security', 'Artificial Intelligence and Machine learning', 'Video Editing and Animation', 'Working with Technology and New Idea Generate', 'Illustration and Design', 'Graphic Design and Editing', 'Video Editing And Animation']","Intro Computing: Engrg &amp; Sci Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241."
Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,,CrossListOpen,Laboratory,4:00 PM,5:15 PM,T,"Joshi, S",PhD,,Tue,16:00,17:15,Tue 16:00 - 17:15,['Big Data Technologies'],Little Bits to Big Ideas Same as INFO 102. See INFO 102.
