Name,Description,Degree Attributes,Enrollment Status,Type,Start Time,End Time,Days of Week,Instructors
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,R,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,01:00 PM,02:50 PM,R,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,03:00 PM,04:50 PM,R,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,09:00 AM,10:50 AM,F,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,F,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,01:00 PM,02:50 PM,F,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,03:00 PM,04:50 PM,F,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,10:00 AM,11:50 AM,F,"Butler, L;Ritschel, N"
Intro Computing: Engrg &amp; Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,12:00 PM,01:50 PM,F,"Butler, L;Ritschel, N"
Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,,CrossListOpen,Laboratory,04:00 PM,05:15 PM,T,"Joshi, S"
Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,,CrossListOpen,Laboratory,04:00 PM,05:15 PM,W,"Khan, S"
Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,,CrossListOpen,Laboratory,04:00 PM,05:15 PM,R,"Koo, S"
Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,,CrossListOpen,Laboratory,05:30 PM,06:45 PM,T,"Joshi, S"
Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,,CrossListOpen,Laboratory,05:30 PM,06:45 PM,W,"Khan, S"
Little Bits to Big Ideas,Same as INFO 102. See INFO 102.,,CrossListOpen,Lecture,09:00 AM,09:50 AM,MWF,"Cunningham, K;Cunningham, R"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Open (Restricted),Lecture,10:00 AM,11:45 AM,F,"Fowler, M"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Open,Laboratory-Discussion,11:00 AM,12:20 PM,M,"Fowler, M"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Open,Laboratory-Discussion,01:00 PM,02:20 PM,M,"Fowler, M"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Open,Laboratory-Discussion,03:00 PM,04:20 PM,M,"Fowler, M"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Open,Laboratory-Discussion,11:00 AM,12:20 PM,T,"Fowler, M"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Closed,Laboratory-Discussion,01:00 PM,02:20 PM,T,"Fowler, M"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Open,Laboratory-Discussion,03:00 PM,04:20 PM,T,"Fowler, M"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Open,Laboratory-Discussion,11:00 AM,12:20 PM,W,"Fowler, M"
Intro Computing: Non-Tech,"Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112.",Quantitative Reasoning I course.,Open,Laboratory-Discussion,01:00 PM,02:20 PM,W,"Fowler, M"
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Lecture,10:00 AM,10:50 AM,MWF,"Fagen-Ulmschneider, W;Flanagan, K"
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Lecture,12:00 PM,12:50 PM,MWF,"Fagen-Ulmschneider, W;Flanagan, K"
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Laboratory-Discussion,11:00 AM,12:20 PM,R,
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Laboratory-Discussion,12:30 PM,01:50 PM,R,
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Laboratory-Discussion,02:00 PM,03:20 PM,W,
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Laboratory-Discussion,03:30 PM,04:50 PM,W,
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Laboratory-Discussion,09:30 AM,10:50 AM,R,
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Laboratory-Discussion,02:00 PM,03:20 PM,R,
Data Science Discovery,Same as IS 107 and STAT 107. See STAT 107.,Quantitative Reasoning I course.,Closed,Laboratory-Discussion,03:30 PM,04:50 PM,R,
Introduction to Computer Science I,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,Quantitative Reasoning I course.,CrossListOpen (Restricted),Online Lecture,ARRANGED,,,"Challen, G"
Introduction to Computer Science I,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,Quantitative Reasoning I course.,Open,Discussion/Recitation,11:00 AM,11:50 AM,T,"Challen, G"
Introduction to Computer Science I,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,Quantitative Reasoning I course.,Open,Discussion/Recitation,01:00 PM,01:50 PM,T,"Challen, G"
Introduction to Computer Science I,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,Quantitative Reasoning I course.,Open,Discussion/Recitation,02:00 PM,02:50 PM,T,"Challen, G"
Introduction to Computer Science I,Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.,Quantitative Reasoning I course.,Open,Discussion/Recitation,03:00 PM,03:50 PM,T,"Challen, G"
Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,Quantitative Reasoning II course.,Open,Laboratory-Discussion,09:30 AM,10:50 AM,F,"Nowak, M"
Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,Quantitative Reasoning II course.,Closed,Laboratory-Discussion,11:00 AM,12:20 PM,F,"Nowak, M"
Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,Quantitative Reasoning II course.,Closed,Laboratory-Discussion,12:30 PM,01:50 PM,F,"Nowak, M"
Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,Quantitative Reasoning II course.,Closed,Laboratory-Discussion,02:00 PM,03:20 PM,F,"Nowak, M"
Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,Quantitative Reasoning II course.,Closed,Laboratory-Discussion,03:30 PM,04:50 PM,F,"Nowak, M"
Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,Quantitative Reasoning II course.,Open,Laboratory-Discussion,05:00 PM,06:20 PM,F,"Nowak, M"
Introduction to Computer Science II,Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124 or CS 125.,Quantitative Reasoning II course.,CrossListOpen (Restricted),Online Lecture,ARRANGED,,,"Nowak, M"
Discrete Structures,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",,CrossListOpen (Restricted),Lecture,09:30 AM,10:45 AM,TR,"Balepur, N;Fleck, M"
Discrete Structures,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",,CrossListOpen (Restricted),Lecture,03:30 PM,04:45 PM,TR,"Balepur, N;Fleck, M"
Discrete Structures,"Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.",,CrossListOpen (Restricted),Lecture,02:00 PM,03:15 PM,TR,"Balepur, N;Fleck, M"
Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,,Open (Restricted),Online,ARRANGED,,,"Challen, G"
Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,,Closed,Online,ARRANGED,,,"Nowak, M"
Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,,Closed,Online,ARRANGED,,,"Fleck, M"
Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,,Closed,Online,ARRANGED,,,"Angrave, L"
Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,,Open (Restricted),Online,ARRANGED,,,"Lewis, C"
Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,,Open (Restricted),Seminar,02:00 PM,03:20 PM,F,"Challen, G"
Undergraduate Open Seminar in Computer Science,Topics vary. Approved for Letter and S/U grading. May be repeated.,,Open,Lecture,05:00 PM,06:00 PM,W,"Amato, N"
Ethical &amp; Professional Issues,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required.",,Closed,Lecture-Discussion,04:00 PM,04:50 PM,MW,"Cunningham, R"
Ethical &amp; Professional Issues,"Ethics for the computing profession. Ethical decision-making; licensing; intellectual property, freedom of information, and privacy. Credit is not given for both CS 210 and either CS 211 or ECE 316. Prerequisite: CS 225. Junior standing required.",,Open (Restricted),Lecture-Discussion,10:00 AM,12:50 PM,F,"Winter, G"
Ethical and Professional Conduct,"Navigating the complex ethical and professional landscape of the computing professional: privacy, intellectual property, cybersecurity, and freedom of speech. Hands-on exercises, assignments, and discussions in which students analyze current events from perspectives in both philosophical and professional ethics. Writing professionally and technically in several writing assignments requiring peer review, workshops, and multiple rounds of editing and revising. Credit is not given for both CS 211 and CS 210 or ECE 316. Prerequisite: CS 225.",Advanced Composition course.,Open (Restricted),Lecture-Discussion,10:00 AM,12:50 PM,F,"Winter, G"
Ethical and Professional Conduct,"Navigating the complex ethical and professional landscape of the computing professional: privacy, intellectual property, cybersecurity, and freedom of speech. Hands-on exercises, assignments, and discussions in which students analyze current events from perspectives in both philosophical and professional ethics. Writing professionally and technically in several writing assignments requiring peer review, workshops, and multiple rounds of editing and revising. Credit is not given for both CS 211 and CS 210 or ECE 316. Prerequisite: CS 225.",Advanced Composition course.,Closed,Lecture-Discussion,04:00 PM,04:50 PM,MWF,"Cunningham, R"
Software Design Lab,"Design and implementation of novel software solutions. Problem identification and definition; idea generation and evaluation; and software implementation, testing, and deployment. Emphasizes software development best practices—including framework selection, code review, documentation, appropriate library usage, project management, continuous integration and testing, and teamwork. Prerequisite: CS 128; credit or concurrent registration in CS 225. Restricted to majors in Computer Science undergraduate curricula only.",,Open (Restricted),Laboratory-Discussion,02:00 PM,02:50 PM,F,"Woodley, M"
Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, CS 413, MATH 213, MATH 347, MATH 412, or MATH 413.",Quantitative Reasoning II course.,CrossListOpen (Restricted),Lecture,11:00 AM,11:50 AM,MWF,"Evans, C"
Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, CS 413, MATH 213, MATH 347, MATH 412, or MATH 413.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,09:00 AM,10:50 AM,R,"Evans, C"
Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, CS 413, MATH 213, MATH 347, MATH 412, or MATH 413.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,11:00 AM,12:50 PM,R,"Evans, C"
Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, CS 413, MATH 213, MATH 347, MATH 412, or MATH 413.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,01:00 PM,02:50 PM,R,"Evans, C"
Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, CS 413, MATH 213, MATH 347, MATH 412, or MATH 413.",Quantitative Reasoning II course.,Closed,Laboratory-Discussion,01:00 PM,02:50 PM,R,"Evans, C"
Data Structures,"Data abstractions: elementary data structures (lists, stacks, queues, and trees) and their implementation using an object-oriented programming language. Solutions to a variety of computational problems such as search on graphs and trees. Elementary analysis of algorithms. Credit is not given for CS 277 if credit for CS 225 has been earned. Prerequisite: CS 126 or CS 128 or ECE 220; One of CS 173, CS 413, MATH 213, MATH 347, MATH 412, or MATH 413.",Quantitative Reasoning II course.,Open,Laboratory-Discussion,03:00 PM,04:50 PM,R,"Evans, C"
Computer Architecture,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. Prerequisite: CS 125 or CS 128; CS 173 or MATH 213; credit or concurrent enrollment in CS 225.",,CrossListOpen (Restricted),Lecture,09:00 AM,10:50 AM,TR,"Zilles, C"
Computer Architecture,"Fundamentals of computer architecture: digital logic design, working up from the logic gate level to understand the function of a simple computer; machine-level programming to understand implementation of high-level languages; performance models of modern computer architectures to enable performance optimization of software; hardware primitives for parallelism and security. Prerequisite: CS 125 or CS 128; CS 173 or MATH 213; credit or concurrent enrollment in CS 225.",,CrossListOpen (Restricted),Online Lecture,09:00 AM,10:50 AM,TR,"Zilles, C"
Community Innovation,Same as IS 266 and MACS 266. See IS 266.,"Social & Beh Sci - Soc Sci, and Cultural Studies - Western course.",CrossListOpen,Lecture-Discussion,09:30 AM,10:50 AM,TR,"Chan, A;Karahalios, K"
Algorithms and Data Structures for Data Science,"Introduction to elementary concepts in algorithms and classical data structures with a focus on their applications in Data Science. Topics include algorithm analysis (ex: Big-O notation), elementary data structures (ex: lists, stacks, queues, trees, and graphs), basics of discrete algorithm design principles (ex: greedy, divide and conquer, dynamic programming), and discussion of discrete and continuous optimization. Credit is not given for CS 277 if credit for CS 225 is earned. Prerequisite: STAT 207; one of MATH 220, MATH 221, MATH 234. CS 277 cannot be taken concurrently with CS 225.",,Closed,Discussion/Recitation,02:00 PM,03:15 PM,F,"Solomon, B"
Algorithms and Data Structures for Data Science,"Introduction to elementary concepts in algorithms and classical data structures with a focus on their applications in Data Science. Topics include algorithm analysis (ex: Big-O notation), elementary data structures (ex: lists, stacks, queues, trees, and graphs), basics of discrete algorithm design principles (ex: greedy, divide and conquer, dynamic programming), and discussion of discrete and continuous optimization. Credit is not given for CS 277 if credit for CS 225 is earned. Prerequisite: STAT 207; one of MATH 220, MATH 221, MATH 234. CS 277 cannot be taken concurrently with CS 225.",,Closed,Lecture,02:00 PM,03:15 PM,MW,"Solomon, B"
Modeling and Learning in Data Science,"Introduction to the use of classical approaches in data modeling and machine learning in the context of solving data-centric problems. A broad coverage of fundamental models is presented, including linear models, unsupervised learning, supervised learning, and deep learning. A significant emphasis is placed on the application of the models in Python and the interpretability of the results. Prerequisite: STAT 207; one of MATH 225, MATH 227, MATH 257, MATH 415, MATH 416, ASRM 406.",,CrossListOpen (Restricted),Discussion/Recitation,09:30 AM,10:45 AM,F,"Dalpiaz, D"
Modeling and Learning in Data Science,"Introduction to the use of classical approaches in data modeling and machine learning in the context of solving data-centric problems. A broad coverage of fundamental models is presented, including linear models, unsupervised learning, supervised learning, and deep learning. A significant emphasis is placed on the application of the models in Python and the interpretability of the results. Prerequisite: STAT 207; one of MATH 225, MATH 227, MATH 257, MATH 415, MATH 416, ASRM 406.",,CrossListOpen (Restricted),Lecture,09:30 AM,10:45 AM,MW,"Dalpiaz, D"
Introduction to Computer Systems,"Basics of computer systems. Number representations, assembly/machine language, abstract models of processors (fetch/execute, memory hierarchy), processes/process control, simple memory management, file I/O and directories, network programming, usage of cloud services. Credit is not given for both CS 340 and CS 240. Prerequisite: CS 128 and CS 225.",,Open (Restricted),Lecture,12:30 PM,01:45 PM,TR,"Schatz, J;Tychonievich, L"
System Programming,"Basics of system programming, including POSIX processes, process control, inter-process communication, synchronization, signals, simple memory management, file I/O and directories, shell programming, socket network programming, RPC programming in distributed systems, basic security mechanisms, and standard tools for systems programming such as debugging tools. Credit is not given for both CS 341 and either CS 241 or ECE 391. Prerequisite: CS 225 and CS 233.",,Open,Laboratory-Discussion,09:30 AM,10:50 AM,R,"Angrave, L"
